date,Price,,
2014-10-10,2870,,
2014-10-09,2930,,
2014-10-08,2950,,
2014-10-07,2870,,
2014-10-06,2770,,
2014-10-05,2830,,
2014-10-04,3060,,
2014-10-03,3230,,
2014-10-02,3230,,
2014-10-01,2910,,
2014-09-30,2540,,
2014-09-29,2590,,
2014-09-28,2660,,
2014-09-27,2630,,
2014-09-26,2640,,
2014-09-25,2570,,
2014-09-24,2470,,
2014-09-23,2430,,
2014-09-22,2740,,
2014-09-21,2950,,
2014-09-20,2990,,
2014-09-19,2820,,
2014-09-18,3040,,
2014-09-17,3040,,
2014-09-16,3030,,
2014-09-15,3170,,
2014-09-14,3230,,
2014-09-13,3210,,
2014-09-12,3270,,
2014-09-11,3130,,
2014-09-10,3140,,
2014-09-09,3130,,
2014-09-08,3540,,
2014-09-07,3260,,
2014-09-06,3250,,
2014-09-05,3060,,
2014-09-04,3020,,
2014-09-03,3090,,
2014-09-02,3100,,
2014-09-01,3240,,
2014-08-31,2970,,
2014-08-30,3070,,
2014-08-29,2980,,
2014-08-28,2980,,
2014-08-27,3040,,
2014-08-26,2960,,
2014-08-25,2900,,
2014-08-24,2840,,
2014-08-23,2830,,
2014-08-22,2820,,
2014-08-21,2860,,
2014-08-20,2750,,
2014-08-19,2770,,
2014-08-18,2700,,
2014-08-17,2650,,
2014-08-16,2770,,
2014-08-15,2710,,
2014-08-14,2680,,
2014-08-13,2660,,
2014-08-12,2630,,
2014-08-11,2620,,
2014-08-10,2550,,
2014-08-09,2540,,
2014-08-08,2550,,
2014-08-07,2520,,
2014-08-06,2520,,
2014-08-05,2540,,
2014-08-04,2620,,
2014-08-03,2480,,
2014-08-02,2480,,
2014-08-01,2500,,
2014-07-31,2480,,
2014-07-30,2520,,
2014-07-29,2510,,
2014-07-28,2640,,
2014-07-27,2780,,
2014-07-26,2950,,
2014-07-25,3040,,
2014-07-24,3190,,
2014-07-23,2890,,
2014-07-22,2670,,
2014-07-21,2510,,
2014-07-20,2300,,
2014-07-19,2470,,
2014-07-18,2360,,
2014-07-17,2280,,
2014-07-16,2340,,
2014-07-15,2340,,
2014-07-14,2270,,
2014-07-13,2270,,
2014-07-12,2310,,
2014-07-11,2370,,
2014-07-10,2160,,
2014-07-09,2170,,
2014-07-08,2280,,
2014-07-07,2260,,
2014-07-06,2240,,
2014-07-05,2140,,
2014-07-04,2250,,
2014-07-03,2360,,
2014-07-02,2340,,
2014-07-01,2380,,
2014-06-30,2370,,
2014-06-29,2420,,
2014-06-28,2470,,
2014-06-27,2570,,
2014-06-26,2560,,
2014-06-25,2550,,
2014-06-24,2460,,
2014-06-23,2470,,
2014-06-22,2470,,
2014-06-21,2610,,
2014-06-20,2440,,
2014-06-19,2370,,
2014-06-18,2230,,
2014-06-17,2000,,
2014-06-16,2050,,
2014-06-15,2020,,
2014-06-14,2090,,
2014-06-13,2150,,
2014-06-12,2300,,
2014-06-11,2410,,
2014-06-10,2350,,
2014-06-09,2150,,
2014-06-08,2250,,
2014-06-07,2340,,
2014-06-06,2390,,
2014-06-05,2520,,
2014-06-04,2400,,
2014-06-03,2610,,
2014-06-02,2730,,
2014-06-01,2560,,
2014-05-31,2470,,
2014-05-30,2450,,
2014-05-29,2490,,
2014-05-28,2450,,
2014-05-27,2580,,
2014-05-26,2530,,
2014-05-25,2610,,
2014-05-24,2570,,
2014-05-23,2560,,
2014-05-22,2570,,
2014-05-21,2530,,
2014-05-20,2560,,
2014-05-19,2650,,
2014-05-18,2640,,
2014-05-17,2650,,
2014-05-16,2570,,
2014-05-15,2550,,
2014-05-14,2600,,
2014-05-13,2620,,
2014-05-12,2700,,
2014-05-11,2740,,
2014-05-10,2710,,
2014-05-09,2770,,
2014-05-08,2590,,
2014-05-07,2740,,
2014-05-06,2720,,
2014-05-05,2750,,
2014-05-04,2810,,
2014-05-03,2850,,
2014-05-02,2870,,
2014-05-01,2860,,
2014-04-30,2740,,
2014-04-29,2900,,
2014-04-28,2940,,
2014-04-27,2900,,
2014-04-26,3030,,
2014-04-25,2990,,
2014-04-24,2990,,
2014-04-23,2950,,
2014-04-22,3090,,
2014-04-21,3010,,
2014-04-20,3070,,
2014-04-19,3130,,
2014-04-18,2670,,
2014-04-17,2630,,
2014-04-16,2700,,
2014-04-15,2610,,
2014-04-14,2630,,
2014-04-13,2800,,
2014-04-12,2860,,
2014-04-11,2710,,
2014-04-10,2880,,
2014-04-09,2700,,
2014-04-08,2830,,
2014-04-07,2850,,
2014-04-06,2900,,
2014-04-05,2980,,
2014-04-04,3070,,
2014-04-03,3250,,
2014-04-02,3080,,
2014-04-01,3130,,
2014-03-31,2900,,
2014-03-30,2890,,
2014-03-29,3030,,
2014-03-28,3180,,
2014-03-27,3200,,
2014-03-26,3370,,
2014-03-25,3560,,
2014-03-24,3630,,
2014-03-23,3690,,
2014-03-22,3760,,
2014-03-21,3750,,
2014-03-20,3850,,
2014-03-19,3620,,
2014-03-18,3820,,
2014-03-17,3700,,
2014-03-16,3850,,
2014-03-15,3960,,
2014-03-14,4050,,
2014-03-13,4320,,
2014-03-12,4330,,
2014-03-11,4250,,
2014-03-10,3980,,
2014-03-09,3900,,
2014-03-08,3840,,
2014-03-07,3900,,
2014-03-06,3850,,
2014-03-05,3880,,
2014-03-04,3950,,
2014-03-03,3980,,
2014-03-02,4110,,
2014-03-01,4170,,
2014-02-28,3920,,
2014-02-27,3780,,
2014-02-26,3800,,
2014-02-25,3840,,
2014-02-24,4010,,
2014-02-23,4220,,
2014-02-22,4410,,
2014-02-21,4340,,
2014-02-20,4400,,
2014-02-19,4260,,
2014-02-18,4530,,
2014-02-17,4530,,
2014-02-16,4500,,
2014-02-15,4510,,
2014-02-14,4500,,
2014-02-13,4400,,
2014-02-12,4400,,
2014-02-11,4500,,
2014-02-10,4350,,
2014-02-09,4480,,
2014-02-08,4780,,
2014-02-07,5000,,
2014-02-06,5040,,
2014-02-05,5060,,
2014-02-04,5170,,
2014-02-03,5240,,
2014-02-02,5280,,
2014-02-01,5560,,
2014-01-31,5550,,
2014-01-30,5330,,
2014-01-29,5310,,
2014-01-28,5260,,
2014-01-27,5140,,
2014-01-26,5160,,
2014-01-25,5160,,
2014-01-24,5150,,
2014-01-23,5330,,
